Code,Copert_V_name,EFbase
PCG_40,Passenger Cars_Petrol_Large-SUV-Executive_Euro 5,0.0075
PCG_41,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 up to 2016,0.0075
PCG_42,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2017-2019,0.0075
PCG_43,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2020+,0.0075
PCD_28,Passenger Cars_Diesel_Mini_Euro 4,0.0075
PCD_29,Passenger Cars_Diesel_Mini_Euro 5,0.0075
PCD_30,Passenger Cars_Diesel_Mini_Euro 6 up to 2016,0.0075
PCD_31,Passenger Cars_Diesel_Mini_Euro 6 2017-2019,0.0075
PCD_32,Passenger Cars_Diesel_Mini_Euro 6 2020+,0.0075
PCD_1,Passenger Cars_Diesel_Small_Conventional,0.0075
PCD_2,Passenger Cars_Diesel_Small_Euro 1,0.0075
PCD_3,Passenger Cars_Diesel_Small_Euro 2,0.0075
PCD_4,Passenger Cars_Diesel_Small_Euro 3,0.0075
PCD_5,Passenger Cars_Diesel_Small_Euro 4,0.0075
PCD_6,Passenger Cars_Diesel_Small_Euro 5,0.0075
PCD_7,Passenger Cars_Diesel_Small_Euro 6 up to 2016,0.0075
PCD_8,Passenger Cars_Diesel_Small_Euro 6 2017-2019,0.0075
PCD_9,Passenger Cars_Diesel_Small_Euro 6 2020+,0.0075
PCD_10,Passenger Cars_Diesel_Medium_Conventional,0.0075
PCD_11,Passenger Cars_Diesel_Medium_Euro 1,0.0075
PCD_12,Passenger Cars_Diesel_Medium_Euro 2,0.0075
PCD_13,Passenger Cars_Diesel_Medium_Euro 3,0.0075
PCD_14,Passenger Cars_Diesel_Medium_Euro 4,0.0075
PCD_15,Passenger Cars_Diesel_Medium_Euro 5,0.0075
PCD_16,Passenger Cars_Diesel_Medium_Euro 6 up to 2016,0.0075
PCD_17,Passenger Cars_Diesel_Medium_Euro 6 2017-2019,0.0075
PCD_18,Passenger Cars_Diesel_Medium_Euro 6 2020+,0.0075
PCD_19,Passenger Cars_Diesel_Large-SUV-Executive_Conventional,0.0075
PCD_20,Passenger Cars_Diesel_Large-SUV-Executive_Euro 1,0.0075
PCD_21,Passenger Cars_Diesel_Large-SUV-Executive_Euro 2,0.0075
PCD_22,Passenger Cars_Diesel_Large-SUV-Executive_Euro 3,0.0075
PCD_23,Passenger Cars_Diesel_Large-SUV-Executive_Euro 4,0.0075
PCD_24,Passenger Cars_Diesel_Large-SUV-Executive_Euro 5,0.0075
